symbol,name,base,htf,entry_thr,exit_mode,exit_thr,htf_m_min,sl_atr,tp_atr,trail_atr,be_at_r,sides,session,n,ret,pf,wr,dd,sharpe,avg_bars,final,score
US30,1h+1d_e15_neg_hm12_s1.5_t3.5_long,1h,1d,15.0,neg,10.0,12.0,1.5,3.5,0.0,0.0,long,all,783,5.295843840163039,1.0161597370807236,43.29501915708812,-19.92177812728153,0.10208599062601476,2.438058748403576,105295.84384016304,-17.09150904284391
US30,1h+1d_e15_neg_hm12_s2.0_t4.0_both,1h,1d,15.0,neg,10.0,12.0,2.0,4.0,0.0,0.0,both,all,1027,-8.816133844249151,0.9718675248881653,45.76436222005842,-24.96153431740733,-0.07736244238081558,3.474196689386563,91183.86615575085,-18.23748157781707
US30,1h+1d_e15_neg_hm12_s2.0_t4.0_long,1h,1d,15.0,neg,10.0,12.0,2.0,4.0,0.0,0.0,long,all,754,8.69143460496813,1.0339566893523962,46.15384615384615,-17.84967929347444,0.18976942177935835,2.8607427055702916,108691.43460496812,-16.696783931490224
US30,1h+1d_e15_neg_hm25_s1.5_t2.5_both,1h,1d,15.0,neg,10.0,25.0,1.5,2.5,0.0,0.0,both,all,805,-14.404191161484048,0.9524723499489368,44.22360248447205,-23.784104792906223,-0.17864442712570278,2.839751552795031,85595.80883851595,-18.61431760399182
US30,1h+1d_e15_neg_hm25_s1.5_t2.5_long,1h,1d,15.0,neg,10.0,25.0,1.5,2.5,0.0,0.0,long,all,602,-8.685195979860193,0.963081685930098,44.51827242524917,-18.513506181505747,-0.10514857580621455,2.164451827242525,91314.80402013981,-18.037966735338713
US30,1h+1d_e15_neg_hm25_s1.5_t3.5_both,1h,1d,15.0,neg,10.0,25.0,1.5,3.5,0.0,0.0,both,all,794,5.3412752442876466,1.0169382754294436,43.19899244332494,-23.93567900931811,0.13460538019578858,3.005037783375315,105341.27524428764,-17.19952239173393
US30,1h+1d_e15_neg_hm25_s1.5_t3.5_long,1h,1d,15.0,neg,10.0,25.0,1.5,3.5,0.0,0.0,long,all,593,8.60515449167134,1.0354033339900903,43.3389544688027,-20.711129913394398,0.18455491845243502,2.342327150084317,108605.15449167133,-16.818898304215043
US30,1h+1d_e15_neg_hm25_s2.0_t4.0_both,1h,1d,15.0,neg,10.0,25.0,2.0,4.0,0.0,0.0,both,all,770,-3.4415384582722086,0.9857617904166215,45.1948051948052,-24.88916677953582,-0.007570180631647413,3.433766233766234,96558.4615417278,-17.88017900441824
US30,1h+1d_e15_neg_hm25_s2.0_t4.0_long,1h,1d,15.0,neg,10.0,25.0,2.0,4.0,0.0,0.0,long,all,569,4.93714814147892,1.0261993560801228,45.86994727592267,-20.5003984702676,0.1364941121742568,2.7943760984182777,104937.14814147892,-17.052290454689853
US30,1h+1d_e20_zero_hm0_s1.5_t2.5_both,1h,1d,20.0,zero,0.0,0.0,1.5,2.5,0.0,0.0,both,all,1466,-14.93066610336986,0.9723315849828161,45.839017735334245,-40.46326137705889,-0.14323355624228726,2.0893587994542973,85069.33389663014,-19.19977847112354
US30,1h+1d_e20_zero_hm0_s1.5_t2.5_long,1h,1d,20.0,zero,0.0,0.0,1.5,2.5,0.0,0.0,long,all,1081,-7.456778754349291,0.9821494500626667,46.34597594819611,-24.836564277317276,-0.06936949962764834,1.4764107308048104,92543.22124565071,-18.14041434555147
