side,entry_time,exit_time,entry,exit,reason,pnl,bars,set,side_s
1,2021-04-08 05:55:00,2021-04-08 08:30:00,33488.2,33513.646428571425,tp,527.3806529854747,31,A_5m_30m_1h,long
1,2021-04-08 11:55:00,2021-04-08 12:30:00,33451.2,33429.235714285714,sl,-321.70219832110945,7,A_5m_30m_1h,long
-1,2021-04-08 16:35:00,2021-04-08 16:40:00,33392.3,33354.44285714286,tp,530.8086272299327,1,A_5m_30m_1h,short
-1,2021-04-08 18:45:00,2021-04-08 18:50:00,33399.3,33426.19285714286,sl,-323.7932626101977,1,A_5m_30m_1h,short
1,2021-04-08 22:55:00,2021-04-08 23:00:00,33489.2,33520.18214285714,tp,534.2588833069517,1,A_5m_30m_1h,long
1,2021-04-09 01:55:00,2021-04-09 03:05:00,33554.7,33576.21785714285,tp,543.1631980284251,14,A_5m_30m_1h,long
1,2021-04-09 03:35:00,2021-04-09 03:45:00,33582.7,33567.80714285714,sl,-331.3295507974495,2,A_5m_30m_1h,long
1,2021-04-09 07:15:00,2021-04-09 07:45:00,33513.7,33529.860714285714,tp,546.6937588159557,6,A_5m_30m_1h,long
1,2021-04-09 10:40:00,2021-04-09 11:10:00,33548.2,33528.860714285714,sl,-333.48319287763456,6,A_5m_30m_1h,long
1,2021-04-09 11:40:00,2021-04-09 12:55:00,33543.7,33579.771428571425,tp,550.247268248134,15,A_5m_30m_1h,long
1,2021-04-09 13:45:00,2021-04-09 14:00:00,33575.7,33559.41428571428,sl,-335.65083363133954,3,A_5m_30m_1h,long
1,2021-04-09 14:05:00,2021-04-09 15:15:00,33575.7,33558.18214285714,sl,-332.2943252950261,14,A_5m_30m_1h,long
1,2021-04-09 15:35:00,2021-04-09 15:45:00,33579.7,33562.610714285714,sl,-328.97138204207585,2,A_5m_30m_1h,long
1,2021-04-09 16:15:00,2021-04-09 16:30:00,33560.7,33599.00357142857,tp,542.8027803693908,3,A_5m_30m_1h,long
1,2021-04-09 17:50:00,2021-04-09 20:45:00,33567.2,33630.59285714285,tp,551.8494933755184,35,A_5m_30m_1h,long
1,2021-04-09 22:20:00,2021-04-09 22:20:00,33661.7,33691.34285714285,tp,561.0469849317027,0,A_5m_30m_1h,long
1,2021-04-12 01:10:00,2021-04-12 03:05:00,33763.2,33733.84285714285,sl,-342.2386608084212,23,A_5m_30m_1h,long
1,2021-04-12 10:10:00,2021-04-12 10:20:00,33707.7,33686.05714285714,sl,-338.816274200337,2,A_5m_30m_1h,long
1,2021-04-12 13:00:00,2021-04-12 14:00:00,33720.7,33741.95,tp,559.046852430556,12,A_5m_30m_1h,long
1,2021-04-12 15:10:00,2021-04-12 16:20:00,33749.7,33733.575,sl,-341.01857998263915,14,A_5m_30m_1h,long
1,2021-04-12 16:35:00,2021-04-12 16:50:00,33762.2,33742.21785714285,sl,-337.6083941828128,3,A_5m_30m_1h,long
1,2021-04-12 17:50:00,2021-04-12 20:40:00,33721.2,33686.37857142857,sl,-334.23231024098465,34,A_5m_30m_1h,long
1,2021-04-13 01:05:00,2021-04-13 08:15:00,33752.2,33731.78928571428,sl,-330.8899871385748,86,A_5m_30m_1h,long
1,2021-04-13 08:30:00,2021-04-13 09:30:00,33742.2,33761.93214285714,tp,545.9684787788497,12,A_5m_30m_1h,long
1,2021-04-13 10:40:00,2021-04-13 10:40:00,33777.7,33762.91428571428,sl,-333.0407720549775,0,A_5m_30m_1h,long
1,2021-04-13 11:00:00,2021-04-13 12:55:00,33777.7,33806.53928571428,tp,549.5172738906205,23,A_5m_30m_1h,long
-1,2021-04-13 15:30:00,2021-04-13 15:30:00,33624.8,33653.40714285715,sl,-335.2055370733339,0,A_5m_30m_1h,short
-1,2021-04-13 17:30:00,2021-04-13 18:25:00,33605.3,33650.83571428572,sl,-331.85348170260056,11,A_5m_30m_1h,short
-1,2021-04-13 18:40:00,2021-04-13 19:35:00,33622.3,33573.81785714286,tp,547.558244809373,11,A_5m_30m_1h,short
1,2021-04-13 23:30:00,2021-04-14 01:40:00,33694.2,33666.18214285714,sl,-334.0105293336682,14,A_5m_30m_1h,long
1,2021-04-14 02:20:00,2021-04-14 02:45:00,33662.7,33653.7,sl,-330.67042404033157,5,A_5m_30m_1h,long
-1,2021-04-14 02:50:00,2021-04-14 03:15:00,33648.8,33634.33571428572,tp,545.6061996663641,5,A_5m_30m_1h,short
-1,2021-04-14 03:35:00,2021-04-14 03:35:00,33639.3,33649.37142857143,sl,-332.81978179659194,0,A_5m_30m_1h,short
-1,2021-04-14 04:00:00,2021-04-14 04:15:00,33637.8,33650.87142857143,sl,-329.491583978626,3,A_5m_30m_1h,short
-1,2021-04-14 05:10:00,2021-04-14 07:50:00,33662.3,33679.014285714286,sl,-326.19666813883975,32,A_5m_30m_1h,short
1,2021-04-14 08:50:00,2021-04-14 09:05:00,33691.2,33676.62857142857,sl,-322.93470145745135,3,A_5m_30m_1h,long
1,2021-04-14 09:35:00,2021-04-14 12:35:00,33677.2,33702.91428571428,tp,532.8422574046942,36,A_5m_30m_1h,long
