side,entry_time,exit_time,entry,exit,reason,pnl,bars,set,side_s
-1,2023-02-08 07:30:00,2023-02-08 08:30:00,1.07281,1.0736992857142857,sl,-742.7990706130425,2,C_30m_4h_1d,short
-1,2023-02-08 09:00:00,2023-02-08 09:00:00,1.07266,1.0736060714285713,sl,-735.3710799069122,0,C_30m_4h_1d,short
-1,2023-02-08 21:30:00,2023-02-09 10:00:00,1.0725900000000002,1.0744992857142859,sl,-728.0173691078431,25,C_30m_4h_1d,short
-1,2023-02-10 02:30:00,2023-02-10 03:00:00,1.07268,1.073859642857143,sl,-720.7371954167647,1,C_30m_4h_1d,short
-1,2023-02-10 04:00:00,2023-02-10 09:00:00,1.0732300000000001,1.0742639285714288,sl,-713.5298234625972,10,C_30m_4h_1d,short
-1,2023-02-10 11:30:00,2023-02-10 14:30:00,1.0719100000000001,1.0689760714285717,tp,1177.3242087133149,6,C_30m_4h_1d,short
-1,2023-02-13 01:30:00,2023-02-13 03:00:00,1.06753,1.0659889285714286,tp,1196.9462788586795,3,C_30m_4h_1d,short
-1,2023-02-13 10:30:00,2023-02-13 14:00:00,1.06753,1.0687310714285716,sl,-730.1372301036912,7,C_30m_4h_1d,short
-1,2023-02-14 22:30:00,2023-02-15 16:00:00,1.0735400000000002,1.0669935714285717,tp,1204.7264296710769,35,C_30m_4h_1d,short
-1,2023-02-16 03:00:00,2023-02-16 03:30:00,1.06887,1.0699221428571428,sl,-734.883122099365,1,C_30m_4h_1d,short
-1,2023-02-16 22:30:00,2023-02-17 06:30:00,1.06722,1.0632860714285717,tp,1212.5571514639753,16,C_30m_4h_1d,short
-1,2023-02-17 13:30:00,2023-02-17 16:00:00,1.06315,1.0648225,sl,-739.6598623930112,5,C_30m_4h_1d,short
1,2023-02-20 04:30:00,2023-02-20 09:30:00,1.06827,1.0699289285714286,tp,1220.4387729484686,10,C_30m_4h_1d,long
-1,2023-02-20 19:30:00,2023-02-20 23:30:00,1.06864,1.06859,flip,29.592694835324952,8,C_30m_4h_1d,short
1,2023-02-21 00:00:00,2023-02-21 01:30:00,1.06843,1.06817,flip,-319.8748584715656,3,C_30m_4h_1d,long
-1,2023-02-21 02:00:00,2023-02-21 03:00:00,1.06817,1.0673182142857143,tp,1235.9413831037798,2,C_30m_4h_1d,short
-1,2023-02-21 09:30:00,2023-02-21 10:00:00,1.0661,1.0671607142857142,sl,-753.9242436932414,1,C_30m_4h_1d,short
-1,2023-02-21 11:00:00,2023-02-21 11:30:00,1.0659800000000001,1.067259285714286,sl,-746.3850012563089,1,C_30m_4h_1d,short
1,2023-02-21 13:30:00,2023-02-21 15:30:00,1.0656299999999999,1.0652300000000001,flip,-154.45906856895402,4,C_30m_4h_1d,long
-1,2023-02-21 16:00:00,2023-02-21 17:00:00,1.0652300000000001,1.0674478571428572,sl,-737.3765605580564,2,C_30m_4h_1d,short
-1,2023-02-21 19:00:00,2023-02-22 21:00:00,1.06556,1.0612635714285716,tp,1216.67132492073,52,C_30m_4h_1d,short
-1,2023-02-23 07:30:00,2023-02-23 08:00:00,1.06165,1.0624117857142856,sl,-742.169508201683,1,C_30m_4h_1d,short
-1,2023-02-23 17:00:00,2023-02-24 14:00:00,1.06064,1.0572203571428571,tp,1224.5796885328302,42,C_30m_4h_1d,short
-1,2023-02-24 19:00:00,2023-02-27 12:30:00,1.05434,1.0567228571428573,sl,-746.9936100049946,35,C_30m_4h_1d,short
1,2023-03-02 11:00:00,2023-03-02 11:30:00,1.06392,1.0627446428571428,sl,-739.5236739049446,1,C_30m_4h_1d,long
-1,2023-03-02 13:00:00,2023-03-02 13:30:00,1.06134,1.0628260714285713,sl,-732.1284371658952,1,C_30m_4h_1d,short
-1,2023-03-02 15:00:00,2023-03-02 20:30:00,1.06054,1.0593599999999999,flip,467.361989233514,11,C_30m_4h_1d,short
1,2023-03-02 21:00:00,2023-03-03 00:00:00,1.0593599999999999,1.05949,flip,43.730402051758844,6,C_30m_4h_1d,long
-1,2023-03-03 00:30:00,2023-03-03 02:30:00,1.05949,1.0609953571428572,sl,-729.918076707089,4,C_30m_4h_1d,short
-1,2023-03-03 05:00:00,2023-03-03 07:30:00,1.06019,1.0611875,sl,-722.618895940018,5,C_30m_4h_1d,short
1,2023-03-07 00:00:00,2023-03-07 11:00:00,1.06825,1.0667028571428572,sl,-715.3927069806178,22,C_30m_4h_1d,long
1,2023-03-07 13:30:00,2023-03-07 14:00:00,1.06689,1.0653771428571428,sl,-708.2387799108116,1,C_30m_4h_1d,long
-1,2023-03-08 04:30:00,2023-03-08 07:00:00,1.05392,1.0524878571428573,tp,1168.593986852658,5,C_30m_4h_1d,short
-1,2023-03-08 07:30:00,2023-03-08 09:00:00,1.05309,1.0540692857142857,sl,-712.8423319802301,3,C_30m_4h_1d,short
-1,2023-03-08 12:00:00,2023-03-08 14:30:00,1.0535,1.0547835714285716,sl,-705.7139086604279,5,C_30m_4h_1d,short
-1,2023-03-08 15:30:00,2023-03-08 16:30:00,1.0538,1.0552378571428571,sl,-698.6567695738236,2,C_30m_4h_1d,short
-1,2023-03-08 19:00:00,2023-03-09 11:30:00,1.05473,1.0567882142857141,sl,-691.6702018780853,33,C_30m_4h_1d,short
-1,2023-03-09 12:00:00,2023-03-09 13:00:00,1.0558,1.0569678571428571,sl,-684.7534998593045,2,C_30m_4h_1d,short
1,2023-03-14 16:30:00,2023-03-15 11:30:00,1.07213,1.0692585714285714,sl,-677.9059648607114,38,C_30m_4h_1d,long
-1,2023-03-15 23:30:00,2023-03-16 06:30:00,1.05768,1.0602396428571428,sl,-671.1269052121044,14,C_30m_4h_1d,short
1,2023-03-20 00:30:00,2023-03-20 09:00:00,1.06768,1.0657835714285713,sl,-664.4156361599833,17,C_30m_4h_1d,long
1,2023-03-20 09:30:00,2023-03-20 10:00:00,1.0668199999999999,1.065053214285714,sl,-657.7714797983834,1,C_30m_4h_1d,long
1,2023-03-20 11:00:00,2023-03-20 13:00:00,1.0662,1.0699571428571428,tp,1085.3229416672898,4,C_30m_4h_1d,long
1,2023-03-20 23:00:00,2023-03-21 06:30:00,1.07237,1.0709846428571428,sl,-662.0469944170725,15,C_30m_4h_1d,long
1,2023-03-21 08:00:00,2023-03-21 08:00:00,1.07164,1.070820357142857,sl,-655.4265244729016,0,C_30m_4h_1d,long
1,2023-03-21 09:30:00,2023-03-21 10:00:00,1.07159,1.0731667857142857,tp,1081.4537653802877,1,C_30m_4h_1d,long
1,2023-03-21 22:00:00,2023-03-22 14:00:00,1.07701,1.0798689285714287,tp,1099.4779948032924,32,C_30m_4h_1d,long
1,2023-03-22 15:30:00,2023-03-22 20:00:00,1.0786499999999999,1.0812857142857142,tp,1117.8026280499828,9,C_30m_4h_1d,long
1,2023-03-23 14:30:00,2023-03-23 19:30:00,1.08891,1.0865110714285715,sl,-681.859603110508,10,C_30m_4h_1d,long
1,2023-03-27 06:00:00,2023-03-27 09:00:00,1.0770199999999999,1.075877857142857,sl,-675.0410070794032,6,C_30m_4h_1d,long
1,2023-03-27 10:00:00,2023-03-27 10:30:00,1.0764099999999999,1.0752217857142856,sl,-668.2905970086091,1,C_30m_4h_1d,long
1,2023-03-27 11:30:00,2023-03-27 20:30:00,1.07693,1.0795317857142857,tp,1102.6794850642048,18,C_30m_4h_1d,long
1,2023-03-28 02:00:00,2023-03-28 03:30:00,1.07996,1.0812367857142857,tp,1121.0574764820715,3,C_30m_4h_1d,long
1,2023-03-28 10:30:00,2023-03-28 11:30:00,1.08252,1.0813092857142856,sl,-683.8450606539856,2,C_30m_4h_1d,long
1,2023-03-28 12:30:00,2023-03-28 15:00:00,1.08161,1.0837742857142858,tp,1128.3443500789992,5,C_30m_4h_1d,long
