side,horizon_m1,n,hit_pct,mean_ret,median_ret,mean_mfe,mean_mae,first_close_favor_pct,first_close_adverse_pct,symbol,panel,min_agree,n_agents
long,10,186,61.29032258064516,0.01043845492142118,0.008527173310913919,0.035052779169034105,0.02201620791295427,58.60215053763441,41.39784946236559,EURUSD,abc_plus_research_longOnly,4,10
any,10,186,61.29032258064516,0.01043845492142118,0.008527173310913919,0.035052779169034105,0.02201620791295427,58.60215053763441,41.39784946236559,EURUSD,abc_plus_research_longOnly,4,10
long,20,186,61.29032258064516,0.017491306897851132,0.010103535291996634,0.05323944396928676,0.029657891454684865,58.60215053763441,41.39784946236559,EURUSD,abc_plus_research_longOnly,4,10
any,20,186,61.29032258064516,0.017491306897851132,0.010103535291996634,0.05323944396928676,0.029657891454684865,58.60215053763441,41.39784946236559,EURUSD,abc_plus_research_longOnly,4,10
long,30,186,60.752688172043015,0.019154886641453733,0.01430845906823629,0.06334018139322772,0.035316670775965904,58.60215053763441,41.39784946236559,EURUSD,abc_plus_research_longOnly,4,10
any,30,186,60.752688172043015,0.019154886641453733,0.01430845906823629,0.06334018139322772,0.035316670775965904,58.60215053763441,41.39784946236559,EURUSD,abc_plus_research_longOnly,4,10
long,60,186,55.376344086021504,0.011795981186424187,0.007078348508739327,0.08548105534223306,0.05945538236394123,58.60215053763441,41.39784946236559,EURUSD,abc_plus_research_longOnly,4,10
any,60,186,55.376344086021504,0.011795981186424187,0.007078348508739327,0.08548105534223306,0.05945538236394123,58.60215053763441,41.39784946236559,EURUSD,abc_plus_research_longOnly,4,10
long,5,1970,47.868020304568525,0.00015155073925510537,0.0,0.020166040484314963,0.020008022148701027,49.34010152284264,50.65989847715736,EURUSD,abc_plus_dvmr_mv,2,7
short,5,995,46.63316582914573,-0.0008845317297853775,-0.0008589220528293332,0.018989738078148032,0.019627971252962843,51.05527638190955,48.84422110552764,EURUSD,abc_plus_dvmr_mv,2,7
